,service_date,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,route_bin
stop_sequence,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0,2018-08-03,21960.0,22140.0,22320.0,22500.0,22680.0,22860.0,23040.0,23280.0,23340.0,Early,Early,Early,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 06:00:00
1,2018-08-03,23700.0,23940.0,24120.0,24360.0,24660.0,24900.0,25080.0,25500.0,25560.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 06:30:00
2,2018-08-03,25560.0,25800.0,25980.0,26220.0,26520.0,26760.0,26940.0,27420.0,27480.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 07:00:00
3,2018-08-03,27300.0,27600.0,27960.0,28260.0,28560.0,28920.0,29220.0,29700.0,29760.0,On Time,On Time,On Time,On Time,On Time,Early,Early,Early,Early,1900-01-01 07:30:00
4,2018-08-03,28980.0,29280.0,29640.0,29940.0,30240.0,30600.0,30900.0,31380.0,31440.0,On Time,On Time,On Time,On Time,Late,Late,Late,Late,Late,1900-01-01 08:00:00
5,2018-08-03,30600.0,30900.0,31260.0,31560.0,31860.0,32220.0,32520.0,33000.0,33060.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:30:00
6,2018-08-03,32880.0,33180.0,33540.0,33840.0,34140.0,34500.0,34800.0,35280.0,35340.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:00:00
7,2018-08-03,34680.0,34980.0,35340.0,35640.0,35940.0,36300.0,36600.0,37080.0,37140.0,On Time,Late,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 09:30:00
8,2018-08-03,36660.0,36960.0,37320.0,37620.0,37980.0,38400.0,38700.0,39360.0,39420.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 10:00:00
9,2018-08-03,38340.0,38640.0,39000.0,39300.0,39720.0,40140.0,40440.0,41100.0,41160.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 10:30:00
10,2018-08-03,40020.0,40320.0,40680.0,40980.0,41400.0,41820.0,42120.0,42780.0,42840.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 11:00:00
11,2018-08-03,41820.0,42120.0,42480.0,42780.0,43200.0,43620.0,43920.0,44580.0,44640.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 11:30:00
12,2018-08-03,43620.0,43920.0,44280.0,44580.0,45000.0,45420.0,45720.0,46380.0,46440.0,Early,On Time,On Time,Late,On Time,On Time,Late,On Time,On Time,1900-01-01 12:00:00
13,2018-08-03,45420.0,45720.0,46080.0,46380.0,46800.0,47220.0,47520.0,48180.0,48240.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 12:30:00
14,2018-08-03,47220.0,47520.0,47880.0,48180.0,48600.0,49020.0,49320.0,49980.0,50040.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 13:00:00
15,2018-08-03,49020.0,49320.0,49680.0,49980.0,50400.0,50820.0,51120.0,51780.0,51840.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 13:30:00
16,2018-08-03,50640.0,50940.0,51300.0,51600.0,52020.0,52440.0,52740.0,53400.0,53460.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 14:00:00
17,2018-08-03,52800.0,53100.0,53460.0,53760.0,54180.0,54600.0,54900.0,55560.0,55620.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 14:30:00
18,2018-08-03,54240.0,54540.0,54900.0,55200.0,55620.0,56040.0,56340.0,57000.0,57060.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 15:00:00
19,2018-08-03,56340.0,56640.0,57000.0,57300.0,57720.0,58140.0,58440.0,59100.0,59160.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 15:30:00
20,2018-08-03,58500.0,58800.0,59160.0,59460.0,59880.0,60300.0,60600.0,61200.0,61260.0,On Time,Late,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 16:00:00
21,2018-08-03,59460.0,59760.0,60120.0,60420.0,60840.0,61260.0,61740.0,62160.0,62220.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 16:30:00
22,2018-08-03,61380.0,61680.0,62040.0,62400.0,62940.0,63300.0,63780.0,64200.0,64260.0,Early,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 17:00:00
23,2018-08-03,63300.0,63600.0,63960.0,64320.0,64860.0,65220.0,65700.0,66120.0,66180.0,On Time,On Time,On Time,On Time,Late,On Time,Early,Early,Early,1900-01-01 17:30:00
24,2018-08-03,65220.0,65520.0,65880.0,66240.0,66720.0,67020.0,67260.0,67560.0,67620.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 18:00:00
25,2018-08-03,67140.0,67380.0,67740.0,68040.0,68400.0,68700.0,68940.0,69240.0,69300.0,On Time,On Time,On Time,On Time,Late,Late,Late,Late,Late,1900-01-01 18:30:00
26,2018-08-03,68580.0,68820.0,69180.0,69480.0,69840.0,70140.0,70380.0,70680.0,70740.0,On Time,Late,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 19:00:00
27,2018-08-03,71040.0,71280.0,71640.0,71940.0,72300.0,72600.0,72840.0,73140.0,73200.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,Late,1900-01-01 19:30:00
28,2018-08-03,72000.0,72240.0,72600.0,72900.0,73260.0,73560.0,73800.0,74100.0,74160.0,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,Late,1900-01-01 20:00:00
29,2018-08-03,73920.0,74160.0,74520.0,74820.0,75180.0,75480.0,75720.0,75960.0,76020.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 20:30:00
30,2018-08-03,75960.0,76200.0,76440.0,76740.0,77100.0,77340.0,77580.0,77820.0,77880.0,On Time,Late,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 21:00:00
31,2018-08-03,77400.0,77640.0,77880.0,78180.0,78540.0,78780.0,79020.0,79260.0,79320.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 21:30:00
32,2018-08-03,79620.0,79860.0,80100.0,80400.0,80760.0,81000.0,81240.0,81480.0,81600.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 22:00:00
33,2018-08-03,81960.0,82140.0,82380.0,82620.0,82860.0,83100.0,83340.0,83580.0,83700.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 22:30:00
34,2018-08-03,83520.0,83700.0,83940.0,84180.0,84420.0,84660.0,84840.0,85020.0,85140.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 23:00:00
35,2018-08-03,85080.0,85260.0,85440.0,85680.0,85920.0,86100.0,86280.0,86460.0,86580.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 23:30:00
36,2018-08-03,86640.0,86820.0,87000.0,87240.0,87480.0,87660.0,87840.0,88020.0,88140.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-02 00:00:00
37,2018-08-03,88200.0,88380.0,88560.0,88800.0,89040.0,89220.0,89400.0,89580.0,89700.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,On Time,1900-01-02 00:30:00
38,2018-08-06,21960.0,22140.0,22320.0,22500.0,22680.0,22860.0,23040.0,23280.0,23340.0,Early,Early,On Time,On Time,On Time,On Time,On Time,On Time,Late,1900-01-01 06:00:00
39,2018-08-06,23700.0,23940.0,24120.0,24360.0,24660.0,24900.0,25080.0,25500.0,25560.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 06:30:00
40,2018-08-06,25560.0,25800.0,25980.0,26220.0,26520.0,26760.0,26940.0,27420.0,27480.0,Early,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 07:00:00
41,2018-08-06,27300.0,27600.0,27960.0,28260.0,28560.0,28920.0,29220.0,29700.0,29760.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 07:30:00
42,2018-08-06,28980.0,29280.0,29640.0,29940.0,30240.0,30600.0,30900.0,31380.0,31440.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:00:00
43,2018-08-06,30600.0,30900.0,31260.0,31560.0,31860.0,32220.0,32520.0,33000.0,33060.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 08:30:00
44,2018-08-06,33480.0,33780.0,34140.0,34440.0,34740.0,35100.0,35400.0,35880.0,35940.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:00:00
45,2018-08-06,34680.0,34980.0,35340.0,35640.0,35940.0,36300.0,36600.0,37080.0,37140.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:30:00
46,2018-08-06,36660.0,36960.0,37320.0,37620.0,37980.0,38400.0,38700.0,39360.0,39420.0,On Time,On Time,On Time,On Time,Early,Early,Early,Early,Late,1900-01-01 10:00:00
47,2018-08-06,38340.0,38640.0,39000.0,39300.0,39720.0,40140.0,40440.0,41100.0,41160.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 10:30:00
48,2018-08-06,40020.0,40320.0,40680.0,40980.0,41400.0,41820.0,42120.0,42780.0,42840.0,Early,Early,Early,Early,Early,Early,Early,Early,Early,1900-01-01 11:00:00
49,2018-08-06,41820.0,42120.0,42480.0,42780.0,43200.0,43620.0,43920.0,44580.0,44640.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 11:30:00
50,2018-08-06,43620.0,43920.0,44280.0,44580.0,45000.0,45420.0,45720.0,46380.0,46440.0,On Time,On Time,On Time,Late,On Time,On Time,On Time,Early,Early,1900-01-01 12:00:00
51,2018-08-06,45420.0,45720.0,46080.0,46380.0,46800.0,47220.0,47520.0,48180.0,48240.0,Early,On Time,Early,Early,Early,Early,Early,Early,Early,1900-01-01 12:30:00
52,2018-08-06,47220.0,47520.0,47880.0,48180.0,48600.0,49020.0,49320.0,49980.0,50040.0,On Time,Late,Late,Late,Late,On Time,Late,On Time,On Time,1900-01-01 13:00:00
53,2018-08-06,49020.0,49320.0,49680.0,49980.0,50400.0,50820.0,51120.0,51780.0,51840.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 13:30:00
54,2018-08-06,50640.0,50940.0,51300.0,51600.0,52020.0,52440.0,52740.0,53400.0,53460.0,On Time,Late,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 14:00:00
55,2018-08-06,52800.0,53100.0,53460.0,53760.0,54180.0,54600.0,54900.0,55560.0,55620.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 14:30:00
56,2018-08-06,54960.0,55260.0,55620.0,55920.0,56340.0,56760.0,57060.0,57720.0,57780.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 15:00:00
57,2018-08-06,56340.0,56640.0,57000.0,57300.0,57720.0,58140.0,58440.0,59100.0,59160.0,On Time,On Time,On Time,On Time,Late,Late,Late,On Time,On Time,1900-01-01 15:30:00
58,2018-08-06,58020.0,58320.0,58680.0,58980.0,59400.0,59820.0,60120.0,60780.0,60840.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,Early,Early,1900-01-01 16:00:00
59,2018-08-06,59460.0,59760.0,60120.0,60420.0,60840.0,61260.0,61740.0,62160.0,62220.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 16:30:00
60,2018-08-06,62340.0,62640.0,63000.0,63360.0,63900.0,64260.0,64740.0,65160.0,65220.0,On Time,On Time,On Time,On Time,Late,Late,On Time,On Time,On Time,1900-01-01 17:00:00
61,2018-08-06,63300.0,63600.0,63960.0,64320.0,64860.0,65220.0,65700.0,66120.0,66180.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 17:30:00
62,2018-08-06,65220.0,65520.0,65880.0,66240.0,66720.0,67020.0,67260.0,67560.0,67620.0,On Time,Late,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 18:00:00
63,2018-08-06,66660.0,66900.0,67260.0,67560.0,67920.0,68220.0,68460.0,68760.0,68820.0,On Time,On Time,On Time,On Time,Late,Late,Late,On Time,On Time,1900-01-01 18:30:00
64,2018-08-06,68580.0,68820.0,69180.0,69480.0,69840.0,70140.0,70380.0,70680.0,70740.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,1900-01-01 19:00:00
65,2018-08-06,70380.0,70620.0,70980.0,71280.0,71640.0,71940.0,72180.0,72480.0,72540.0,On Time,On Time,Late,Late,On Time,On Time,Late,Late,Late,1900-01-01 19:30:00
66,2018-08-06,72000.0,72240.0,72600.0,72900.0,73260.0,73560.0,73800.0,74100.0,74160.0,Early,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 20:00:00
67,2018-08-06,73920.0,74160.0,74520.0,74820.0,75180.0,75480.0,75720.0,75960.0,76020.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 20:30:00
68,2018-08-06,75960.0,76200.0,76440.0,76740.0,77100.0,77340.0,77580.0,77820.0,77880.0,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,Late,1900-01-01 21:00:00
69,2018-08-06,77400.0,77640.0,77880.0,78180.0,78540.0,78780.0,79020.0,79260.0,79320.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 21:30:00
70,2018-08-06,79620.0,79860.0,80100.0,80400.0,80760.0,81000.0,81240.0,81480.0,81600.0,Early,On Time,Early,Early,Early,Early,Early,Early,Early,1900-01-01 22:00:00
71,2018-08-06,81180.0,81360.0,81600.0,81840.0,82080.0,82320.0,82560.0,82800.0,82920.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,Early,Early,1900-01-01 22:30:00
