,service_date,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,route_bin
stop_sequence,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0,2018-08-10,25560.0,25800.0,25980.0,26220.0,26520.0,26760.0,26940.0,27420.0,27480.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 07:00:00
1,2018-08-10,26700.0,26940.0,27300.0,27600.0,27900.0,28260.0,28560.0,29040.0,29100.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 07:20:00
2,2018-08-10,27840.0,28140.0,28500.0,28800.0,29100.0,29460.0,29760.0,30240.0,30300.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,1900-01-01 07:40:00
3,2018-08-10,28980.0,29280.0,29640.0,29940.0,30240.0,30600.0,30900.0,31380.0,31440.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 08:00:00
4,2018-08-10,30060.0,30360.0,30720.0,31020.0,31320.0,31680.0,31980.0,32460.0,32520.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 08:20:00
5,2018-08-10,31680.0,31980.0,32340.0,32640.0,32940.0,33300.0,33600.0,34080.0,34140.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:40:00
6,2018-08-10,32880.0,33180.0,33540.0,33840.0,34140.0,34500.0,34800.0,35280.0,35340.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 09:00:00
7,2018-08-10,34080.0,34380.0,34740.0,35040.0,35340.0,35700.0,36000.0,36480.0,36540.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 09:20:00
8,2018-08-10,35940.0,36240.0,36600.0,36900.0,37200.0,37560.0,37860.0,38520.0,38580.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:40:00
9,2018-08-10,36660.0,36960.0,37320.0,37620.0,37980.0,38400.0,38700.0,39360.0,39420.0,Early,On Time,Early,Early,Early,On Time,On Time,Early,On Time,1900-01-01 10:00:00
10,2018-08-10,37440.0,37740.0,38100.0,38400.0,38820.0,39240.0,39540.0,40200.0,40260.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 10:20:00
11,2018-08-10,39120.0,39420.0,39780.0,40080.0,40500.0,40920.0,41220.0,41880.0,41940.0,On Time,On Time,On Time,On Time,Early,Early,Early,Early,Early,1900-01-01 10:40:00
