,service_date,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,scheduled,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,timeliness,route_bin
stop_sequence,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0,2018-08-30,25680.0,25740.0,26040.0,26220.0,26520.0,26760.0,27060.0,27300.0,27480.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,On Time,1900-01-01 07:00:00
1,2018-08-30,26820.0,26880.0,27240.0,27540.0,27840.0,28140.0,28500.0,28740.0,28920.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 07:20:00
2,2018-08-30,27960.0,28020.0,28380.0,28680.0,28980.0,29280.0,29640.0,29880.0,30060.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 07:40:00
3,2018-08-30,29100.0,29160.0,29520.0,29820.0,30120.0,30420.0,30780.0,31020.0,31200.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:00:00
4,2018-08-30,30240.0,30300.0,30660.0,30960.0,31260.0,31560.0,31920.0,32160.0,32340.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:20:00
5,2018-08-30,31860.0,31920.0,32280.0,32580.0,32880.0,33180.0,33540.0,33780.0,33960.0,On Time,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 08:40:00
6,2018-08-30,32400.0,32460.0,32820.0,33120.0,33420.0,33720.0,34080.0,34320.0,34440.0,On Time,On Time,On Time,Late,Late,Late,Late,Late,Late,1900-01-01 09:00:00
7,2018-08-30,33600.0,33660.0,34020.0,34320.0,34620.0,34920.0,35280.0,35520.0,35640.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:20:00
8,2018-08-30,34860.0,34920.0,35280.0,35580.0,35880.0,36180.0,36540.0,36780.0,36900.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 09:40:00
9,2018-08-30,36480.0,36540.0,36900.0,37200.0,37500.0,37800.0,38160.0,38400.0,38580.0,On Time,On Time,On Time,On Time,Late,On Time,Late,Late,On Time,1900-01-01 10:00:00
10,2018-08-30,37320.0,37380.0,37740.0,38040.0,38340.0,38640.0,39000.0,39240.0,39420.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 10:20:00
11,2018-08-30,39120.0,39180.0,39600.0,39900.0,40200.0,40500.0,40860.0,41100.0,41280.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,1900-01-01 10:40:00
12,2018-08-30,40020.0,40080.0,40500.0,40800.0,41100.0,41400.0,41760.0,42000.0,42180.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,1900-01-01 11:00:00
13,2018-08-30,40920.0,40980.0,41400.0,41700.0,42000.0,42300.0,42660.0,42900.0,43080.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 11:20:00
14,2018-08-30,42720.0,42780.0,43200.0,43500.0,43800.0,44100.0,44460.0,44700.0,44880.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 11:40:00
15,2018-08-30,43620.0,43680.0,44100.0,44400.0,44700.0,45000.0,45360.0,45600.0,45780.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 12:00:00
16,2018-08-30,44520.0,44580.0,45000.0,45300.0,45600.0,45900.0,46260.0,46500.0,46680.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 12:20:00
17,2018-08-30,46320.0,46380.0,46800.0,47100.0,47400.0,47700.0,48060.0,48300.0,48480.0,On Time,On Time,On Time,On Time,On Time,On Time,Late,Late,Late,1900-01-01 12:40:00
18,2018-08-30,47220.0,47280.0,47700.0,48000.0,48300.0,48600.0,48960.0,49200.0,49380.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 13:00:00
19,2018-08-30,48120.0,48180.0,48600.0,48900.0,49200.0,49500.0,49860.0,50100.0,50280.0,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,On Time,1900-01-01 13:20:00
20,2018-08-30,49920.0,49980.0,50400.0,50700.0,51000.0,51300.0,51660.0,51900.0,52080.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 13:40:00
21,2018-08-30,50700.0,50760.0,51180.0,51480.0,51780.0,52080.0,52440.0,52680.0,52860.0,On Time,On Time,On Time,On Time,Late,Late,Late,Late,Late,1900-01-01 14:00:00
22,2018-08-30,52200.0,52260.0,52680.0,52980.0,53280.0,53580.0,53940.0,54180.0,54360.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 14:20:00
23,2018-08-30,52920.0,52980.0,53400.0,53700.0,54000.0,54300.0,54660.0,54900.0,55080.0,Late,Late,Late,Late,Late,Late,Late,Late,Late,1900-01-01 14:40:00
24,2018-08-30,54240.0,54300.0,54720.0,55020.0,55320.0,55620.0,55980.0,56220.0,56400.0,On Time,On Time,Late,Late,Late,Late,Late,Late,Late,1900-01-01 15:00:00
